what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872684513
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872702426
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1300872715615
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300872721110
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1300872724993
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300872728658
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300872747416
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300872756263
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300872761161
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300872767215
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872774764
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872777769
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872778112
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872793262
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872808116
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872812994
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1300872815705
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300872817519
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300872826962
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1300872834894
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300872838879
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300872842107
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872844935
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872850693
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872851607
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872899056
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872907801
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872916425
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872917168
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872949108
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300872952506
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300872956120
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300872959560
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872966179
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872980677
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872983648
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872985059
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872989665
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872990888
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300872993525
