what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874390472
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874399364
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1300874403116
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1300874408308
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1300874408817
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874429117
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874431484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874432556
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874433530
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874434657
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874445337
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300874447692
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874453380
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874454270
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874465167
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874511651
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300874524053
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300874531163
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300874532968
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300874539097
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1300874544421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874545164
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874552013
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874553258
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874554401
activated,view,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit.ResultView",1300874557917
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874559388
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874596505
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300874597787
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874601863
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874638116
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874640545
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874665036
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1300874666959
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874670852
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874706349
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874707598
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874713706
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1300874718629
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1300874727841
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300874739306
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874754038
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300874754156
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1300874772811
